"method","subsample","event_date","mean_car","se","boot_se","lo","hi","n","metric"
"SC","Cash merger",153,-0.204843060258654,0.00392853868019385,0.0361560899395824,-0.282640397589448,-0.136234359353137,9261,"log"
"SC","Cash merger",154,-0.206396308242157,0.00395284045450973,0.036406391469102,-0.284418609466732,-0.137068964043411,9261,"log"
"SC","Cash merger",155,-0.208236472632334,0.00397772548964438,0.0367797045174711,-0.286846208310924,-0.137726828487935,9261,"log"
"SC","Cash merger",156,-0.209824248870873,0.00399821767186763,0.0369539161973809,-0.288072110905303,-0.138862179632712,9261,"log"
"SC","Cash merger",157,-0.210919035235124,0.00402631425281027,0.0369960490035562,-0.288870645178797,-0.139782476345027,9261,"log"
"SC","Cash merger",158,-0.211762799833437,0.00404632698288028,0.0372517249861072,-0.290608827827789,-0.139848139639218,9261,"log"
"SC","Cash merger",159,-0.212692619590692,0.00406266160877694,0.0374716498111746,-0.291934754747786,-0.140465262389563,9261,"log"
"SC","Cash merger",160,-0.213405888313583,0.00407185041449267,0.0375819764656858,-0.292934761746232,-0.141557120107413,9261,"log"
"SC","Cash merger",161,-0.214765701937919,0.00408701182295425,0.0378544565060533,-0.295401250545407,-0.142274843487993,9261,"log"
"SC","Cash merger",162,-0.215875207890359,0.00410159825005906,0.0381163809249262,-0.297296740392865,-0.142982979616781,9261,"log"
"SC","Cash merger",163,-0.217800616904258,0.00412498560185675,0.0384564828255753,-0.299830415275971,-0.144403568517054,9261,"log"
"SC","Cash merger",164,-0.219095562122412,0.00413983625516228,0.0387449507842854,-0.302007758225744,-0.145215589401282,9261,"log"
"SC","Cash merger",165,-0.220781494808488,0.00415890825808897,0.0390654250909688,-0.304503773021808,-0.146209481679801,9261,"log"
"SC","Cash merger",166,-0.222005230085043,0.00417892690301076,0.0392698300606013,-0.306578998232565,-0.147105252829795,9261,"log"
"SC","Cash merger",167,-0.222859389096783,0.0041906372107016,0.0394586490597419,-0.307870196908614,-0.147337519120392,9261,"log"
"SC","Cash merger",168,-0.224390551161628,0.00421209351249984,0.0396970704797813,-0.309681113556953,-0.14850646560589,9261,"log"
"SC","Cash merger",169,-0.225717907374728,0.00423822445550067,0.0400238918993809,-0.31179304372218,-0.149201247035846,9261,"log"
"SC","Cash merger",170,-0.227148446879107,0.0042526194033208,0.0403021803270047,-0.313772173355849,-0.149879803151424,9261,"log"
"SC","Cash merger",171,-0.228403482073689,0.00426363535340265,0.0405777343468533,-0.316196607050116,-0.150569837286237,9261,"log"
"SC","Cash merger",172,-0.230278795666283,0.00428782577317986,0.0409199141125369,-0.318473160999437,-0.151490480524088,9261,"log"
"SC","Cash merger",173,-0.231415500924261,0.0043037748663545,0.0412214477766267,-0.320257760543046,-0.15191557495727,9261,"log"
"SC","Cash merger",174,-0.232798185173166,0.0043158080803346,0.0414459523212998,-0.322112830737204,-0.152925171795952,9261,"log"
"SC","Cash merger",175,-0.234326275302126,0.00432957260460474,0.0416412951904449,-0.324697806040787,-0.154712553970246,9261,"log"
"SC","Cash merger",176,-0.235667205997886,0.00434296939798602,0.0417262764094462,-0.326189204519552,-0.15575852393605,9261,"log"
"SC","Cash merger",177,-0.237054010625182,0.0043656811490702,0.0420335010709775,-0.327654540249296,-0.156468811950601,9261,"log"
"SC","Cash merger",178,-0.238602402883576,0.00438606644916423,0.0422266445147303,-0.329769397084833,-0.157872603713687,9261,"log"
"SC","Cash merger",179,-0.240219041618014,0.00440674163330563,0.042482382239874,-0.331823281029552,-0.158864717842431,9261,"log"
"SC","Cash merger",180,-0.241929571383597,0.00442617780857029,0.0427449669875854,-0.334309602348135,-0.160291723079407,9261,"log"
"SC","Cash merger",181,-0.243542439276185,0.00444310481120417,0.0431501919464725,-0.336523439757841,-0.161442214762182,9261,"log"
"SC","Cash merger",182,-0.245083141281544,0.00446110919438399,0.0432737409935544,-0.338799851756926,-0.162923502765494,9261,"log"
"SC","Cash merger",183,-0.246873591432551,0.00447407320781993,0.0434689128066736,-0.341014446297109,-0.16356076699204,9261,"log"
"SC","Cash merger",184,-0.248209669448229,0.00449009466854965,0.0437524104282791,-0.342553890520033,-0.164757487485522,9261,"log"
"SC","Cash merger",185,-0.249276115717636,0.00449975069598551,0.0439857709342576,-0.344335459218603,-0.165256027632602,9261,"log"
"SC","Cash merger",186,-0.250513220750736,0.00452424008655559,0.0442111930379116,-0.346351512864221,-0.165808204616206,9261,"log"
"SC","Cash merger",187,-0.252259622175583,0.00453920411697697,0.0444254452390426,-0.348636582943141,-0.167591514479386,9261,"log"
"SC","Cash merger",188,-0.252785755825721,0.00453467400570883,0.0445401514537622,-0.349810007061221,-0.167330635468075,9261,"log"
"SC","Cash merger",189,-0.253961117951571,0.00455142947246361,0.0447853469891306,-0.351359378897928,-0.168104956157524,9261,"log"
"SC","Cash merger",190,-0.255652506521766,0.00456716891564788,0.0450967184669564,-0.353516675130535,-0.169563669358495,9261,"log"
"SC","Cash merger",191,-0.256994886411974,0.00459402320234784,0.045440585061836,-0.355643728467703,-0.170351434010949,9261,"log"
"SC","Cash merger",192,-0.258686110439827,0.00461133816375927,0.0456914781437225,-0.357792905569366,-0.17218617632424,9261,"log"
"SC","Cash merger",193,-0.260476075544816,0.00463135142718151,0.0459047112414775,-0.359795978365138,-0.173798472824399,9261,"log"
"SC","Cash merger",194,-0.261973205115485,0.00464975714482652,0.0461825640720626,-0.361845179591845,-0.174854483202712,9261,"log"
"SC","Cash merger",195,-0.263181533987309,0.00465511412736593,0.0464054233039681,-0.363415474889392,-0.175949041007831,9261,"log"
"SC","Cash merger",196,-0.26471866275341,0.00467755488715388,0.0467009132429455,-0.365523004592518,-0.176636711122229,9261,"log"
"SC","Cash merger",197,-0.266121243352167,0.00469119150446921,0.0468376408862807,-0.367392841292698,-0.177421276323474,9261,"log"
"SC","Cash merger",198,-0.268305899096402,0.00472238402780872,0.0472919743004683,-0.37068343790152,-0.178830022405607,9261,"log"
"SC","Cash merger",199,-0.269181951124759,0.00474022418059506,0.0475070642528357,-0.371938432337225,-0.179515758674483,9261,"log"
"SC","Cash merger",200,-0.270080741616732,0.00474733260592599,0.0475831696096176,-0.373188544652262,-0.180029162505049,9261,"log"
"SC","Cash merger",201,-0.271520424250216,0.00476079325458364,0.0477681114190538,-0.374973166118048,-0.181327675095177,9261,"log"
"SC","Cash merger",202,-0.272830469472493,0.00478261765605321,0.0480834748967781,-0.377124165964958,-0.182014605180359,9261,"log"
