"method","subsample","event_date","mean_car","boot_se","lo","hi","n"
"APM","Stock merger",16,-0.00973647068360215,0.00789347580981614,-0.0230024946724755,0.00705835307666527,1255
"APM","Stock merger",17,-0.00896685880034101,0.00821688090913261,-0.0228943358158726,0.007998410864937,1255
"APM","Stock merger",18,-0.0117827543556259,0.00859348235496676,-0.0260555208735044,0.00634413661492573,1255
"APM","Stock merger",19,-0.0107564351215145,0.00819076095837632,-0.0247781847557561,0.00699316793545071,1255
"APM","Stock merger",20,-0.0147725928238545,0.00834852920836668,-0.0288569252241191,0.00279552179310296,1255
"APM","Stock merger",21,-0.0147897431668454,0.00743389268070257,-0.0276110309407942,0.000410787828703798,1255
"APM","Stock merger",22,-0.0167316066402327,0.00794207678334616,-0.030167124116365,0.000212205456480003,1255
"APM","Stock merger",23,-0.0161131680953159,0.0084095581623094,-0.0303801242048008,0.00221016662320411,1255
"APM","Stock merger",24,-0.0172780452542103,0.00943376783301808,-0.0331660462211136,0.00236307740804231,1255
"APM","Stock merger",25,-0.0158514616829245,0.00918761909518103,-0.0310915837544042,0.0033023907772134,1255
"APM","Stock merger",26,-0.0170839425562815,0.00892162580272328,-0.0321989735927824,0.0017571467697557,1255
"APM","Stock merger",27,-0.018433235511811,0.00959920867250548,-0.0348112060512105,0.00193689633300748,1255
"APM","Stock merger",28,-0.0190029850049008,0.0101450094014197,-0.0367144002174919,0.00252634361628603,1255
"APM","Stock merger",29,-0.0189716051662932,0.0101209507156902,-0.0369029288070403,0.00113250264200629,1255
"APM","Stock merger",30,-0.019948947773322,0.010915737560702,-0.0392511218323141,0.00157557909099667,1255
"APM","Stock merger",31,-0.0214857259431228,0.0114401659079495,-0.0423069299065669,0.00163042104294029,1255
"APM","Stock merger",32,-0.0231839381782013,0.012282263890477,-0.0458633864961562,0.00141540062346161,1255
"APM","Stock merger",33,-0.0228310861890115,0.0119094102575288,-0.0451777241175137,0.000566770289280576,1255
"APM","Stock merger",34,-0.0240376840413097,0.0121359232173019,-0.0467786521676698,-9.45167078994657e-05,1255
"APM","Stock merger",35,-0.0247235459305009,0.0125220895519203,-0.0486891384871356,-0.000455829612957963,1255
"APM","Stock merger",36,-0.0274102359447867,0.0150483385435934,-0.0566205486366013,0.00110929330313436,1255
"APM","Stock merger",37,-0.0256016021777952,0.0152277104348526,-0.055519440453338,0.00286388287017542,1255
